Signature,Semantic Superset,Complete Superset
440,NA,NA
441,True,False
442,NA,NA
443,NA,NA
444,NA,NA
445,True,False
446,True,True
447,True,True
448,NA,NA
449,True,True
450,True,True
451,NA,NA
452,True,True
453,NA,NA
454,NA,NA
455,True,True
456,NA,NA
457,True,False
458,True,True
459,True,False
460,True,True
461,True,False
462,True,True
463,True,True
464,True,False
465,NA,NA
466,True,True
467,NA,NA
468,True,True
469,True,True
470,True,True
471,True,True
472,True,True
473,NA,NA
474,NA,NA
475,True,False
476,True,True
477,NA,NA
478,True,False
479,True,False
480,True,True
481,NA,NA
482,True,True
483,True,True
484,True,False
485,True,True
486,True,False
487,True,True
488,True,True
489,NA,NA
490,True,True
491,True,True
492,True,False
493,NA,NA
494,True,False
495,NA,NA
496,True,False
497,True,False
498,True,True
499,NA,NA
500,True,True
501,True,True
502,NA,NA
503,True,True
504,True,False
505,NA,NA
506,True,True
507,NA,NA
508,True,True
509,NA,NA
510,True,True
511,NA,NA
512,True,True
513,True,False
514,True,True
515,True,False
516,True,True
517,True,True
518,True,True
519,True,True
520,NA,NA
521,NA,NA
522,NA,NA
523,NA,NA
524,NA,NA
525,True,False
526,True,True
527,NA,NA
528,True,False
529,True,False
530,True,True
531,True,True
532,True,False
533,True,False
534,True,True
535,NA,NA
536,NA,NA
537,True,True
538,NA,NA
539,True,True
540,True,True
541,True,True
542,True,True
543,True,True
544,NA,NA
545,True,False
546,NA,NA
547,NA,NA
548,True,True
549,NA,NA
550,NA,NA
551,True,True
552,True,True
553,True,False
554,True,True
555,True,True
556,True,True
557,NA,NA
558,NA,NA
559,True,False
560,True,True
561,NA,NA
562,True,True
563,True,True
564,True,True
565,True,True
566,True,True
567,NA,NA
568,True,True
569,True,True
570,True,True
571,True,True
572,NA,NA
573,True,False
574,NA,NA
575,True,False
576,True,True
577,True,True
578,NA,NA
579,NA,NA
580,NA,NA
581,True,True
582,True,True
583,NA,NA
584,True,True
585,True,True
586,True,True
587,True,False
588,NA,NA
589,NA,NA
590,True,False
591,NA,NA
592,True,True
593,NA,NA
594,NA,NA
595,True,True
596,True,True
597,NA,NA
598,True,True
599,True,True
600,True,True
601,NA,NA
602,NA,NA
603,True,True
604,True,True
605,True,False
606,NA,NA
607,True,False
608,True,False
609,NA,NA
610,NA,NA
611,NA,NA
612,True,True
613,True,True
614,NA,NA
615,NA,NA
616,True,True
617,NA,NA
618,True,True
619,NA,NA
620,NA,NA
621,True,True
622,True,True
623,True,True
624,True,True
625,NA,NA
626,True,True
627,True,False
628,True,True
629,True,False
630,True,True
631,NA,NA
632,NA,NA
633,NA,NA
634,True,True
635,NA,NA
636,NA,NA
637,NA,NA
638,NA,NA
639,True,True
640,NA,NA
641,True,True
642,True,True
643,True,True
644,True,True
645,True,False
646,NA,NA
647,NA,NA
648,True,True
649,True,True
650,True,True
651,True,True
652,True,True
653,True,False
654,NA,NA
655,True,True
656,NA,NA
657,True,False
658,NA,NA
659,NA,NA
660,NA,NA
661,True,True
662,True,True
663,NA,NA
664,NA,NA
665,NA,NA
666,NA,NA
667,NA,NA
668,NA,NA
669,True,True
670,True,True
671,True,True
672,True,True
673,NA,NA
674,True,True
675,True,False
676,NA,NA
677,True,True
678,NA,NA
679,True,False
680,True,True
681,True,True
682,True,True
683,True,True
684,True,True
685,NA,NA
686,True,True
687,True,True
688,True,True
689,True,True
690,True,True
691,True,True
692,True,True
693,True,True
694,NA,NA
695,True,True
696,True,False
697,True,False
698,NA,NA
699,True,True
700,NA,NA
701,NA,NA
702,True,True
703,NA,NA
704,True,True
705,True,True
706,True,False
707,True,True
708,NA,NA
709,True,False
710,True,True
711,True,False
712,NA,NA
713,True,True
714,NA,NA
715,True,True
716,True,True
717,True,False
718,True,True
719,True,False
720,True,False
721,True,False
722,NA,NA
723,True,True
724,True,False
725,True,True
726,True,False
727,True,True
728,NA,NA
729,NA,NA
730,NA,NA
731,True,True
732,True,True
733,True,True
734,True,False
735,NA,NA
736,NA,NA
737,True,True
738,True,True
739,True,True
740,NA,NA
741,True,True
742,True,True
743,True,True
744,NA,NA
745,NA,NA
746,NA,NA
747,True,False
748,NA,NA
749,True,False
750,True,True
751,True,False
752,True,True
753,True,False
754,True,True
755,True,True
756,True,False
757,True,True
758,True,True
759,True,True
760,True,False
761,True,True
762,True,False
763,True,True
764,True,True
765,True,True
766,True,True
767,NA,NA
768,True,True
769,NA,NA
770,True,True
771,NA,NA
772,NA,NA
773,True,True
774,True,True
775,NA,NA
776,NA,NA
777,True,True
778,NA,NA
779,True,True
780,NA,NA
781,True,True
782,NA,NA
783,NA,NA
784,NA,NA
785,True,True
786,True,True
787,True,True
788,True,False
789,True,True
790,True,True
791,True,True
792,NA,NA
793,NA,NA
794,NA,NA
795,NA,NA
796,True,True
797,True,True
798,True,True
799,True,False
800,NA,NA
801,NA,NA
802,NA,NA
803,NA,NA
804,NA,NA
805,True,True
806,NA,NA
807,True,True
808,True,True
809,True,True
810,NA,NA
811,True,True
812,True,False
813,True,False
814,NA,NA
815,True,True
816,True,True
817,True,False
818,NA,NA
819,True,False
820,True,True
821,True,True
822,True,False
823,NA,NA
824,True,True
825,NA,NA
826,True,True
827,NA,NA
828,True,True
829,True,True
830,NA,NA
831,True,True
832,True,False
833,True,True
834,True,True
835,NA,NA
836,True,False
837,NA,NA
838,NA,NA
839,True,True
840,True,True
841,True,True
842,NA,NA
843,True,True
844,True,True
845,True,True
846,NA,NA
847,True,True
848,True,True
849,NA,NA
850,True,True
851,True,True
852,True,True
853,True,True
854,True,True
855,True,False
856,NA,NA
857,True,True
858,True,True
859,True,True
860,True,False
861,True,True
862,NA,NA
863,True,True
864,True,True
865,NA,NA
866,True,True
867,True,True
868,True,True
869,NA,NA
870,NA,NA
871,True,True
872,True,False
873,NA,NA
874,True,True
875,True,True
876,NA,NA
877,NA,NA
878,True,True
879,True,False
880,True,True
881,True,True
882,True,True
883,True,False
884,NA,NA
885,True,True
886,NA,NA
887,True,False
888,True,True
889,NA,NA
890,True,True
891,True,True
892,True,True
893,True,False
894,NA,NA
895,NA,NA
896,True,True
897,True,True
898,True,True
899,True,True
900,True,False
901,True,False
902,True,True
903,True,True
904,NA,NA
905,NA,NA
906,NA,NA
907,True,True
908,True,False
909,NA,NA
910,True,True
911,True,True
912,NA,NA
913,NA,NA
914,NA,NA
915,True,True
916,NA,NA
917,NA,NA
918,True,True
919,NA,NA
920,True,True
921,True,True
922,True,True
923,True,True
924,True,True
925,NA,NA
926,True,True
927,True,False
928,NA,NA
929,NA,NA
930,True,False
931,True,False
932,NA,NA
933,True,True
934,True,True
935,True,True
936,True,True
937,True,False
938,True,True
939,True,True
940,True,False
941,True,False
942,True,True
943,True,False
944,NA,NA
945,True,True
946,True,True
947,NA,NA
948,True,False
949,NA,NA
950,NA,NA
951,True,True
952,True,True
953,True,True
954,True,True
955,True,False
956,True,False
957,NA,NA
958,NA,NA
959,True,False
960,NA,NA
961,NA,NA
962,True,True
963,True,True
964,NA,NA
965,True,True
966,True,True
967,True,True
968,NA,NA
969,NA,NA
970,True,True
971,True,True
972,True,True
973,NA,NA
974,NA,NA
975,NA,NA
976,True,True
977,True,True
978,True,True
979,NA,NA
980,True,True
981,True,True
982,NA,NA
983,True,True
984,True,True
985,True,False
986,True,True
987,True,True
988,NA,NA
989,True,True
990,True,True
991,True,True
992,True,True
993,NA,NA
994,True,False
995,True,True
996,NA,NA
997,True,False
998,NA,NA
999,True,True
